motor.left.target,motor.right.target,#cicli 100hz
0,0,14
0,-29,24
-38,-192,34
-42,-196,44
-57,-202,54
-57,-190,64
-79,-193,74
-83,-174,84
-94,-190,94
-116,-161,104
-131,-161,114
-122,-180,124
-94,-173,134
-121,-163,144
-98,-165,154
-133,-155,164
-121,-145,174
-92,-172,184
-103,-171,194
-91,-183,204
-81,-186,214
-88,-186,224
-94,-173,234
-82,-189,244
-98,-172,254
-87,-165,264
-95,-167,274
-95,-176,284
-96,-177,294
-117,-170,304
-114,-143,314
-93,-153,324
-103,-168,334
-120,-172,344
-96,-170,354
-100,-180,364
-88,-157,374
-111,-151,384
-134,-149,394
-107,-137,404
-96,-182,414
-106,-165,424
-135,-173,434
-128,-185,444
-121,-172,454
-110,-146,464
-125,-146,474
-132,-156,484
-122,-143,494
-130,-138,504
-119,-145,514
-110,-145,524
-118,-143,534
-127,-134,544
-136,-138,554
-127,-135,564
-141,-171,574
-127,-131,584
-131,-140,594
-133,-169,604
-127,-135,614
-127,-144,624
-125,-151,634
-135,-132,644
-136,-124,654
-135,-144,664
-128,-121,674
-125,-136,684
-134,-122,694
-138,-125,704
-135,-139,714
-135,-140,724
-141,-131,734
-133,-143,744
-131,-129,754
-130,-130,764
-137,-143,774
-133,-131,784
-133,-127,794
-130,-126,804
-126,-130,814
-129,-126,824
-132,-122,834
-123,-126,844
-131,-115,854
-127,-123,864
-134,-118,874
-144,-122,884
-155,-116,894
-159,-115,904
-196,-123,914
-141,-112,924
-148,-116,934
-174,-92,944
-173,-75,954
-191,-63,964
-184,-77,974
-182,-78,984
-194,-82,994
-171,-106,1004
-153,-97,1014
-156,-110,1024
-152,-90,1034
-157,-114,1044
-165,-110,1054
-174,-89,1064
-163,-88,1074
-152,-93,1084
-173,-115,1094
-149,-100,1104
-142,-88,1114
-143,-85,1124
-157,-89,1134
-176,-90,1144
-157,-93,1154
-160,-113,1164
-161,-87,1174
-147,-103,1184
-154,-93,1194
-152,-94,1204
-144,-122,1214
-144,-117,1224
-143,-100,1234
-115,-87,1244
-23,-18,1254
-28,-21,1264
-28,-22,1274
-23,-17,1284
-23,-15,1294
-21,-16,1304
-22,-15,1314
-24,-19,1324
-23,-19,1334
-22,-16,1344
-22,-18,1354
-22,-19,1364
-22,-18,1374
-21,-18,1384
-22,-19,1394
-20,-17,1404
-22,-18,1414
-21,-18,1424
-21,-18,1434
-21,-20,1444
-20,-18,1454
-21,-19,1464
-23,-18,1474
-22,-19,1484
-23,-18,1494
-23,-17,1504
-22,-18,1514
-22,-18,1524
-23,-18,1534
-21,-18,1544
-21,-18,1554
-22,-17,1564
-20,-18,1574
-20,-15,1584
-21,-16,1594
-22,-16,1604
-21,-16,1614
-21,-17,1624
-21,-17,1634
-21,-16,1644
-21,-15,1654
-21,-18,1664
-19,-16,1674
