motor.left.target,motor.right.target
-40,-185
-46,-209
-54,-220
-68,-186
-83,-189
-88,-187
-99,-194
-109,-166
-130,-161
-105,-159
-110,-154
-128,-147
-108,-153
-119,-148
-113,-147
-106,-170
-105,-174
-91,-185
-79,-188
-88,-186
-93,-178
-83,-189
-94,-179
-91,-174
-94,-176
-96,-180
-95,-171
-106,-174
-109,-167
-106,-168
-110,-169
-113,-171
-114,-167
-114,-158
-109,-154
-114,-166
-115,-159
-115,-158
-115,-164
-114,-162
-117,-167
-119,-154
-121,-141
-125,-147
-126,-159
-126,-148
-120,-143
-121,-148
-123,-143
-126,-145
-124,-136
-123,-143
-129,-132
-132,-154
-132,-154
-132,-145
-134,-153
-129,-132
-129,-134
-130,-139
-131,-132
-137,-126
-138,-149
-131,-127
-127,-131
-132,-121
-133,-127
-137,-144
-136,-136
-143,-130
-130,-140
-135,-130
-134,-131
-139,-141
-136,-128
-139,-122
-125,-125
-137,-130
-129,-124
-126,-126
-131,-117
-131,-125
-129,-119
-158,-119
-154,-115
-156,-114
-170,-110
-147,-109
-157,-111
-168,-96
-167,-78
-182,-67
-182,-74
-181,-79
-171,-83
-162,-98
-160,-94
-161,-97
-162,-96
-165,-105
-163,-105
-157,-105
-157,-100
-155,-105
-164,-105
-156,-95
-162,-91
-168,-89
-166,-87
-161,-91
-158,-96
-157,-99
-163,-97
-161,-97
-155,-100
-149,-99
-147,-105
-147,-108
-136,-95
-24,-20
-23,-19
-23,-19
-23,-19
-23,-19
-23,-19
-23,-19
-23,-19
-23,-19
-23,-19
-22,-19
-22,-19
-22,-19
-22,-19
-22,-19
-22,-19
-22,-19
-22,-19
-22,-19
-22,-19
-22,-19
-22,-18
-22,-18
-22,-18
-22,-18
-22,-18
-22,-18
-22,-18
-22,-18
-22,-18
-22,-18
-22,-17
-22,-17
-22,-17
-22,-17
-22,-17
-22,-17
-21,-17
-21,-17
-21,-17
-21,-17
-21,-17
-21,-17
