motor.left.target,motor.right.target,#cicli 100hz
0,0,13
0,-7,23
-42,-74,33
-52,-118,43
-60,-135,53
-75,-116,63
-82,-121,73
-86,-118,83
-93,-129,93
-99,-107,103
-102,-108,113
-81,-111,123
-91,-85,133
-89,-100,143
-79,-96,153
-84,-115,163
-93,-92,173
-84,-118,183
-77,-121,193
-72,-127,203
-60,-148,213
-54,-173,223
-56,-145,233
-54,-162,243
-59,-131,253
-62,-142,263
-63,-136,273
-58,-139,283
-62,-131,293
-64,-135,303
-68,-131,313
-70,-131,323
-70,-133,333
-79,-133,343
-77,-128,353
-76,-126,363
-74,-132,373
-84,-136,383
-79,-121,393
-78,-130,403
-77,-126,413
-79,-123,423
-82,-132,433
-81,-118,443
-84,-116,453
-92,-122,463
-93,-128,473
-89,-119,483
-86,-114,493
-84,-113,503
-87,-104,513
-93,-120,523
-88,-124,533
-89,-116,543
-97,-106,553
-98,-105,563
-98,-133,573
-86,-127,583
-100,-110,593
-98,-129,603
-94,-102,613
-97,-118,623
-94,-117,633
-95,-93,643
-99,-123,653
-102,-132,663
-101,-91,673
-92,-109,683
-98,-86,693
-97,-84,703
-95,-108,713
-96,-93,723
-121,-89,733
-102,-111,743
-99,-90,753
-91,-85,763
-89,-107,773
-99,-98,783
-115,-93,793
-87,-92,803
-99,-108,813
-96,-89,823
-87,-80,833
-96,-85,843
-99,-105,853
-93,-88,863
-128,-86,873
-107,-89,883
-131,-88,893
-145,-77,903
-111,-78,913
-110,-79,923
-137,-74,933
-130,-56,943
-141,-40,953
-155,-50,963
-147,-55,973
-140,-58,983
-141,-62,993
-127,-72,1003
-137,-66,1013
-133,-68,1023
-128,-73,1033
-123,-74,1043
-130,-75,1053
-132,-81,1063
-124,-76,1073
-131,-78,1083
-124,-78,1093
-128,-74,1103
-119,-65,1113
-132,-66,1123
-136,-65,1133
-128,-64,1143
-136,-71,1153
-133,-73,1163
-131,-74,1173
-128,-74,1183
-135,-73,1193
-129,-76,1203
-122,-77,1213
-127,-83,1223
-129,-83,1233
-103,-66,1243
-1,6,1253
-1,0,1263
-1,0,1273
-2,0,1283
-1,0,1293
-1,0,1303
-1,0,1313
-2,0,1323
-1,0,1333
-2,0,1343
-1,0,1353
-1,0,1363
-2,0,1373
-1,0,1383
-1,0,1393
0,0,1403
-2,0,1413
-1,0,1423
-1,0,1433
0,0,1443
-2,0,1453
-2,0,1463
-2,0,1473
-3,0,1483
-1,0,1493
-1,0,1503
0,0,1513
0,0,1523
0,0,1533
0,0,1543
0,0,1553
0,0,1563
0,0,1573
0,0,1583
0,0,1593
0,0,1603
0,0,1613
0,0,1623
0,0,1633
0,0,1643
0,0,1653
0,0,1663
0,0,1673
