motor.left.target,motor.right.target
-57,-98
-62,-126
-63,-143
-73,-114
-84,-120
-85,-122
-93,-133
-96,-108
-118,-106
-87,-106
-90,-98
-111,-95
-85,-98
-84,-108
-93,-108
-87,-107
-78,-128
-74,-134
-64,-146
-49,-154
-64,-141
-54,-155
-65,-142
-65,-142
-62,-138
-64,-139
-66,-143
-65,-135
-71,-138
-73,-131
-74,-132
-78,-134
-79,-130
-79,-122
-73,-120
-79,-132
-79,-125
-80,-124
-79,-128
-79,-127
-82,-133
-84,-121
-86,-111
-90,-118
-91,-127
-91,-119
-86,-114
-86,-119
-88,-113
-91,-117
-89,-108
-89,-114
-94,-99
-97,-98
-96,-123
-88,-129
-96,-116
-98,-121
-93,-99
-94,-105
-95,-110
-96,-99
-106,-94
-106,-119
-95,-93
-91,-97
-96,-88
-97,-94
-105,-114
-105,-106
-112,-96
-95,-112
-100,-98
-99,-99
-108,-114
-106,-96
-109,-90
-91,-94
-107,-98
-95,-93
-92,-95
-97,-87
-98,-95
-95,-89
-126,-89
-123,-86
-124,-84
-138,-81
-118,-81
-126,-82
-137,-70
-136,-54
-154,-42
-155,-50
-153,-55
-140,-59
-140,-64
-131,-72
-129,-69
-131,-72
-132,-71
-135,-78
-133,-78
-127,-78
-127,-77
-125,-77
-134,-78
-126,-70
-132,-67
-138,-64
-136,-62
-131,-66
-129,-71
-128,-74
-134,-72
-132,-72
-126,-77
-123,-74
-121,-79
-121,-82
-110,-72
-1,0
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
