motor.left.target,motor.right.target,#cicli 100hz
0,0,11
0,0,21
-20,-155,31
-26,-194,41
-48,-213,51
-55,-184,61
-76,-191,71
-80,-184,81
-89,-200,91
-101,-160,101
-132,-155,111
-91,-148,121
-88,-150,131
-136,-141,141
-106,-153,151
-108,-153,161
-112,-158,171
-101,-164,191
-113,-152,201
-99,-138,211
-96,-190,221
-79,-186,231
-84,-179,241
-96,-177,251
-85,-182,261
-99,-188,271
-87,-177,291
-96,-178,301
-90,-185,311
-95,-174,321
-108,-168,331
-103,-156,341
-117,-169,351
-108,-160,361
-112,-169,371
-103,-149,381
-132,-144,391
-111,-150,401
-99,-167,411
-100,-149,421
-104,-138,431
-131,-158,441
-123,-175,451
-117,-164,461
-123,-144,471
-128,-124,481
-124,-148,491
-120,-164,501
-129,-148,511
-127,-134,521
-121,-153,531
-118,-140,541
-133,-150,551
-130,-126,561
-133,-133,571
-123,-132,581
-136,-136,591
-136,-148,601
-125,-165,611
-130,-141,621
-130,-147,631
-120,-133,641
-124,-135,651
-134,-144,661
-123,-132,671
-145,-130,681
-142,-147,691
-122,-125,701
-125,-124,711
-134,-120,721
-129,-133,731
-132,-138,741
-135,-131,751
-137,-132,761
-133,-143,771
-141,-130,781
-137,-136,791
-139,-139,801
-135,-134,811
-137,-125,821
-135,-128,831
-136,-128,841
-134,-125,851
-124,-123,861
-131,-130,871
-135,-122,881
-138,-118,891
-155,-115,901
-172,-116,911
-144,-104,921
-185,-96,931
-147,-127,941
-177,-112,951
-191,-88,961
-159,-78,971
-183,-76,981
-191,-77,991
-192,-80,1001
-190,-89,1011
-180,-97,1021
-144,-113,1031
-147,-105,1041
-159,-92,1051
-187,-103,1061
-142,-110,1071
-176,-112,1081
-175,-116,1091
-159,-115,1101
-169,-126,1111
-181,-120,1121
-165,-104,1131
-159,-97,1141
-159,-85,1151
-188,-95,1161
-156,-91,1171
-155,-116,1181
-164,-107,1191
-176,-86,1201
-191,-99,1211
-153,-109,1221
-142,-115,1231
-149,-122,1241
-143,-98,1251
-86,-59,1261
-24,-21,1271
-25,-21,1281
-24,-21,1291
-24,-23,1301
-24,-22,1311
-24,-21,1321
-24,-22,1331
-23,-21,1341
-24,-21,1351
-24,-22,1361
-24,-23,1371
-23,-22,1381
-24,-22,1391
-23,-22,1401
-24,-21,1411
-24,-21,1421
-24,-22,1431
-25,-23,1441
-23,-21,1451
-22,-22,1461
-22,-22,1471
-23,-22,1481
-23,-21,1491
-23,-21,1501
-22,-23,1511
-23,-22,1521
-23,-22,1531
-22,-22,1541
-22,-22,1551
-22,-21,1561
-23,-21,1571
-22,-21,1581
-20,-21,1591
-21,-21,1601
-22,-20,1611
-19,-18,1621
-20,-19,1631
-22,-21,1641
-23,-22,1661
-29,-28,1671
-26,-25,1681
-25,-24,1691
-23,-23,1701
