motor.left.target,motor.right.target,#cicli 100hz
0,0,38
0,0,48
-8,-67,58
-39,-89,68
-50,-96,78
-69,-115,88
-79,-131,98
-88,-129,108
-95,-119,118
-105,-109,128
-124,-114,138
-91,-105,148
-108,-100,158
-106,-98,168
-86,-115,178
-86,-109,188
-90,-105,198
-84,-114,208
-79,-122,218
-72,-134,228
-63,-144,238
-45,-161,248
-55,-149,258
-63,-150,268
-49,-150,278
-67,-141,288
-56,-133,298
-66,-133,308
-66,-150,318
-65,-134,328
-67,-147,338
-77,-129,348
-65,-136,358
-69,-137,368
-75,-138,378
-80,-135,388
-77,-120,398
-70,-123,408
-80,-121,428
-77,-127,438
-78,-119,448
-76,-132,468
-76,-120,478
-69,-128,488
-80,-123,498
-82,-114,508
-84,-121,518
-88,-118,528
-85,-117,538
-80,-118,548
-84,-95,558
-87,-104,568
-101,-95,578
-85,-115,588
-86,-88,598
-92,-86,608
-87,-116,618
-92,-115,628
-94,-120,638
-94,-118,648
-97,-125,658
-91,-109,668
-92,-98,678
-94,-122,688
-96,-100,698
-103,-88,708
-109,-107,718
-93,-86,728
-85,-91,738
-98,-89,748
-93,-91,758
-99,-119,768
-98,-111,778
-129,-99,788
-93,-108,798
-92,-94,808
-97,-91,818
-93,-120,828
-95,-94,838
-97,-87,848
-87,-96,858
-84,-87,878
-99,-90,888
-88,-92,898
-91,-81,908
-94,-90,918
-128,-82,928
-125,-79,938
-120,-79,948
-133,-75,958
-114,-73,968
-124,-72,978
-134,-68,988
-128,-59,998
-143,-39,1008
-148,-50,1018
-150,-45,1028
-134,-50,1038
-139,-55,1048
-134,-62,1058
-125,-64,1068
-132,-69,1078
-122,-64,1088
-132,-74,1098
-125,-73,1108
-122,-72,1118
-115,-72,1128
-123,-68,1138
-113,-72,1148
-127,-69,1158
-128,-67,1168
-120,-61,1178
-130,-62,1188
-131,-61,1198
-118,-62,1208
-128,-68,1218
-124,-67,1228
-138,-69,1238
-123,-65,1248
-121,-65,1258
-117,-68,1268
-104,-69,1278
-120,-78,1288
-110,-65,1298
-5,1,1308
-2,4,1318
-2,0,1328
-2,0,1338
-2,0,1348
-1,0,1358
-2,0,1368
-2,0,1378
-2,0,1388
-2,0,1398
-2,0,1408
-2,0,1418
-2,0,1428
-2,0,1438
-2,0,1448
-2,0,1458
-2,0,1468
-1,0,1478
-1,0,1488
-1,0,1498
0,0,1508
-1,0,1518
10,0,1528
0,0,1538
0,0,1548
0,0,1558
8,0,1568
5,0,1578
8,0,1588
0,0,1598
0,0,1608
0,0,1618
0,0,1628
8,0,1648
4,0,1658
0,0,1668
0,7,1698
9,3,1708
3,7,1718
0,4,1738
0,2,1748
0,1,1758
3,3,1768
