motor.left.target,motor.right.target
0,0
0,0
0,0
-57,-98
-61,-127
-64,-142
-84,-121
-86,-123
-93,-133
-97,-108
-118,-106
-88,-106
-90,-99
-111,-97
-85,-100
-82,-111
-92,-110
-85,-109
-78,-129
-74,-136
-64,-148
-49,-156
-59,-154
-64,-143
-54,-157
-64,-145
-62,-139
-64,-141
-66,-145
-65,-137
-71,-140
-74,-133
-71,-133
-74,-134
-79,-135
-80,-131
-79,-123
-73,-120
-80,-132
-80,-125
-80,-125
-79,-122
-78,-127
-78,-127
-78,-127
-79,-130
-82,-117
-83,-106
-87,-114
-88,-123
-83,-110
-82,-115
-84,-108
-88,-112
-86,-99
-86,-110
-91,-95
-94,-94
-94,-120
-86,-126
-94,-113
-96,-118
-91,-96
-92,-97
-92,-107
-94,-96
-99,-90
-100,-116
-93,-91
-89,-95
-94,-86
-95,-92
-99,-112
-99,-104
-109,-94
-92,-108
-97,-95
-96,-96
-105,-110
-98,-93
-106,-86
-88,-90
-100,-94
-92,-89
-92,-89
-87,-89
-92,-81
-92,-88
-121,-82
-121,-82
-117,-79
-133,-74
-113,-73
-121,-75
-132,-65
-131,-46
-146,-37
-147,-45
-145,-47
-135,-53
-135,-58
-126,-66
-124,-64
-126,-67
-127,-66
-130,-71
-128,-71
-122,-71
-122,-70
-120,-70
-129,-71
-121,-64
-127,-61
-133,-59
-131,-57
-126,-61
-124,-66
-123,-69
-129,-67
-127,-67
-121,-70
-118,-69
-116,-72
-116,-75
-105,-66
2,3
2,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
2,3
2,3
2,3
2,4
2,4
2,4
2,4
2,4
2,4
2,4
2,4
2,4
2,4
2,4
2,4
2,4
2,4
2,4
2,4
